         10814361 function calls (10697337 primitive calls) in 46.022 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   46.024   46.024 /Users/richeyjay/Desktop/Relapse_Pipeline/env/run_pipelineV2.py:13(main)
        1    0.001    0.001   21.232   21.232 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/demographic_handling.py:5(create_and_merge_demographic_subsets)
        1    0.174    0.174   21.121   21.121 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/create_demodf_knn.py:6(create_demographic_dfs)
        1    0.001    0.001   18.920   18.920 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/model_training.py:56(train_and_evaluate_models)
       61   18.858    0.309   18.858    0.309 {method 'acquire' of '_thread.lock' objects}
       12    0.000    0.000   18.465    1.539 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:540(wait)
       12    0.000    0.000   18.465    1.539 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/threading.py:270(wait)
       12    0.000    0.000   18.460    1.538 /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/concurrent/futures/_base.py:200(as_completed)
      362    0.038    0.000    7.763    0.021 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:6435(drop_duplicates)
      362    0.125    0.000    6.544    0.018 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/frame.py:6532(duplicated)
      403    0.006    0.000    5.216    0.013 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/concat.py:149(concat)
      403    0.047    0.000    4.901    0.012 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/reshape/concat.py:565(get_result)
      403    0.200    0.000    4.777    0.012 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/pandas/core/internals/concat.py:176(concatenate_managers)
        1    0.001    0.001    4.222    4.222 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/utils.py:27(get_outcome_choice)
        1    4.218    4.218    4.218    4.218 {built-in method builtins.input}
