         4572717 function calls (4555856 primitive calls) in 31.548 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.007    0.007   31.549   31.549 /Users/richeyjay/Desktop/Relapse_Pipeline/env/run_pipelineV2.py:65(run_pipeline)
        1    0.005    0.005   29.903   29.903 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/model_training.py:9(train_and_evaluate_models)
       11    0.002    0.000   27.607    2.510 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:109(train)
       11    0.009    0.001   27.367    2.488 /Users/richeyjay/Desktop/Relapse_Pipeline/env/src/train_model.py:49(feature_selection_and_model_fitting)
    44/22    0.002    0.000   26.871    1.221 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/base.py:1135(wrapper)
       77    0.024    0.000   26.096    0.339 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:96(_logistic_regression_path)
       22    0.001    0.000   25.764    1.171 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/parallel.py:42(__call__)
       22    0.000    0.000   25.764    1.171 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1847(__call__)
      110    0.002    0.000   25.761    0.234 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/joblib/parallel.py:1764(_get_sequential_output)
       66    0.003    0.000   25.757    0.390 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/utils/parallel.py:113(__call__)
       11    0.001    0.000   17.004    1.546 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/sklearn/linear_model/_logistic.py:1139(fit)
       11    0.005    0.000   16.912    1.537 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_minimize.py:45(minimize)
       11    1.014    0.092   16.906    1.537 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_lbfgsb_py.py:210(_minimize_lbfgsb)
    32002    0.129    0.000   15.582    0.000 /Users/richeyjay/Desktop/Relapse_Pipeline/env/lib/python3.8/site-packages/scipy/optimize/_differentiable_functions.py:282(fun_and_grad)
