global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,58,91,63,38,0.596,0.7054263565891473,0.5909090909090909,0.6431095406360424,0.6492153679653679
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 26 3, 15 2, 9 4",61,83,48,58,0.576,0.5886524822695035,0.6335877862595419,0.6102941176470588,0.6147283340817242
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 52 3, 29 2, 19 4",58,93,47,52,0.604,0.6413793103448275,0.6642857142857143,0.6526315789473683,0.6567532467532468
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 74 3, 42 2, 34 4",64,93,36,57,0.628,0.62,0.7209302325581395,0.6666666666666666,0.6818502146197707
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 97 3, 58 2, 45 4",78,74,50,48,0.608,0.6065573770491803,0.5967741935483871,0.6016260162601627,0.6813876088069637
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 132 3, 65 2, 53 4",72,83,44,51,0.62,0.6194029850746269,0.6535433070866141,0.636015325670498,0.6998911721400679
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 159 3, 80 2, 61 4",63,82,48,57,0.58,0.5899280575539568,0.6307692307692307,0.6096654275092938,0.6478205128205129
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 179 3, 95 2, 76 4",70,89,38,53,0.636,0.6267605633802817,0.7007874015748031,0.6617100371747212,0.6818385506689713
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 203 3, 115 2, 82 4",75,83,43,49,0.632,0.6287878787878788,0.6587301587301587,0.6434108527131782,0.6845238095238094
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 226 3, 131 2, 93 4",69,77,63,41,0.584,0.652542372881356,0.55,0.5968992248062016,0.6158441558441559
0,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 149 2, 103 4",70,76,53,51,0.584,0.5984251968503937,0.5891472868217055,0.5937500000000001,0.6250880902043693
