global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),Training Demographics,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4",750 1,72,2,24,2,0.74,0.07692307692307693,0.5,0.13333333333333336,0.5494791666666667
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","712 1, 21 3, 11 2, 6 4",81,2,15,2,0.83,0.11764705882352941,0.5,0.19047619047619047,0.6458333333333333
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","668 1, 43 3, 20 2, 19 4",77,2,19,2,0.79,0.09523809523809523,0.5,0.16,0.59375
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","632 1, 61 3, 31 2, 26 4",77,2,19,2,0.79,0.09523809523809523,0.5,0.16,0.5208333333333334
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","612 1, 71 3, 34 2, 33 4",50,2,46,2,0.52,0.041666666666666664,0.5,0.07692307692307693,0.5546875
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","558 1, 100 3, 51 2, 41 4",77,2,19,2,0.79,0.09523809523809523,0.5,0.16,0.5390625
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","516 1, 121 3, 57 2, 56 4",57,2,39,2,0.59,0.04878048780487805,0.5,0.08888888888888888,0.5286458333333334
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","473 1, 141 3, 75 2, 61 4",72,2,24,2,0.74,0.07692307692307693,0.5,0.13333333333333336,0.6666666666666666
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","445 1, 159 3, 84 2, 62 4",74,2,22,2,0.76,0.08333333333333333,0.5,0.14285714285714285,0.6666666666666667
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","410 1, 181 3, 88 2, 71 4",56,1,40,3,0.59,0.06976744186046512,0.75,0.1276595744680851,0.6614583333333334
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","376 1, 191 3, 111 2, 72 4",65,2,31,2,0.67,0.06060606060606061,0.5,0.10810810810810813,0.5364583333333333
