global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),Training Demographics,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4",750 1,36,20,12,32,0.68,0.7272727272727273,0.6153846153846154,0.6666666666666667,0.750400641025641
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","712 1, 21 3, 11 2, 6 4",30,19,18,33,0.63,0.6470588235294118,0.6346153846153846,0.6407766990291263,0.7263621794871795
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","668 1, 43 3, 20 2, 19 4",33,21,15,31,0.64,0.6739130434782609,0.5961538461538461,0.6326530612244897,0.7143429487179487
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","632 1, 61 3, 31 2, 26 4",38,24,10,28,0.66,0.7368421052631579,0.5384615384615384,0.6222222222222222,0.7063301282051281
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","612 1, 71 3, 34 2, 33 4",29,17,19,35,0.64,0.6481481481481481,0.6730769230769231,0.6603773584905661,0.6678685897435896
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","558 1, 100 3, 51 2, 41 4",31,16,17,36,0.67,0.6792452830188679,0.6923076923076923,0.6857142857142857,0.7331730769230769
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","516 1, 121 3, 57 2, 56 4",25,13,23,39,0.64,0.6290322580645161,0.75,0.6842105263157896,0.6895032051282052
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","473 1, 141 3, 75 2, 61 4",38,23,10,29,0.67,0.7435897435897436,0.5576923076923077,0.6373626373626373,0.7215544871794872
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","445 1, 159 3, 84 2, 62 4",32,22,16,30,0.62,0.6521739130434783,0.5769230769230769,0.6122448979591837,0.7327724358974358
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","410 1, 181 3, 88 2, 71 4",29,15,19,37,0.66,0.6607142857142857,0.7115384615384616,0.6851851851851851,0.7427884615384616
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"58 1, 19 3, 16 2, 7 4","376 1, 191 3, 111 2, 72 4",35,18,13,34,0.69,0.723404255319149,0.6538461538461539,0.6868686868686869,0.7576121794871795
