Pipeline Number,global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Precision,Accuracy,Recall,F1
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 239 3, 162 2, 99 4",85,82,47,36,0.6949152542372882,0.668,0.6356589147286822,0.6639676113360323
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 216 3, 146 2, 88 4",73,75,47,55,0.5769230769230769,0.592,0.6147540983606558,0.5952380952380951
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 190 3, 137 2, 73 4",66,73,45,66,0.5251798561151079,0.556,0.6186440677966102,0.5680933852140078
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 116 2, 65 4",75,75,61,39,0.6578947368421053,0.6,0.5514705882352942,0.6
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 147 3, 97 2, 56 4",72,78,57,43,0.6446280991735537,0.6,0.5777777777777777,0.609375
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 125 3, 79 2, 46 4",66,74,56,54,0.578125,0.56,0.5692307692307692,0.5736434108527132
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 101 3, 68 2, 31 4",67,78,60,45,0.6341463414634146,0.58,0.5652173913043478,0.5977011494252873
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 78 3, 49 2, 23 4",71,87,51,41,0.6796875,0.632,0.6304347826086957,0.6541353383458646
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 55 3, 31 2, 14 4",55,78,59,58,0.5735294117647058,0.532,0.5693430656934306,0.5714285714285714
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 28 3, 14 2, 8 4",66,84,64,36,0.7,0.6,0.5675675675675675,0.626865671641791
1,1,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,73,71,78,28,0.7171717171717171,0.576,0.47651006711409394,0.5725806451612903
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",75,82,25,68,0.5466666666666666,0.628,0.7663551401869159,0.6381322957198443
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 221 3, 140 2, 89 4",66,86,34,64,0.5733333333333334,0.608,0.7166666666666667,0.6370370370370371
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",81,75,59,35,0.6818181818181818,0.624,0.5597014925373134,0.6147540983606556
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 108 2, 73 4",78,65,74,33,0.6632653061224489,0.572,0.4676258992805755,0.5485232067510548
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",56,90,30,74,0.5487804878048781,0.584,0.75,0.6338028169014085
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 126 3, 73 2, 51 4",61,79,47,63,0.5563380281690141,0.56,0.626984126984127,0.5895522388059703
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 104 3, 59 2, 37 4",57,91,27,75,0.5481927710843374,0.592,0.7711864406779662,0.6408450704225352
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 77 3, 46 2, 27 4",71,85,53,41,0.6746031746031746,0.624,0.6159420289855072,0.6439393939393939
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",71,82,49,48,0.6307692307692307,0.612,0.6259541984732825,0.628352490421456
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 25 3, 16 2, 9 4",59,82,49,60,0.5774647887323944,0.564,0.6259541984732825,0.6007326007326008
1,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,67,86,50,47,0.6466165413533834,0.612,0.6323529411764706,0.6394052044609666
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",75,82,25,68,0.5466666666666666,0.628,0.7663551401869159,0.6381322957198443
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 221 3, 140 2, 89 4",66,86,34,64,0.5733333333333334,0.608,0.7166666666666667,0.6370370370370371
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",81,75,59,35,0.6818181818181818,0.624,0.5597014925373134,0.6147540983606556
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 169 3, 108 2, 73 4",78,65,74,33,0.6632653061224489,0.572,0.4676258992805755,0.5485232067510548
2,4,Binary,Rd_kostenB_1993,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",56,90,30,74,0.5487804878048781,0.584,0.75,0.6338028169014085
