global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",21,125,87,17,0.584,0.8802816901408451,0.589622641509434,0.7062146892655367,0.6157735085945399
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",20,133,70,27,0.612,0.83125,0.6551724137931034,0.7327823691460056,0.647174092409241
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",28,93,122,7,0.484,0.93,0.4325581395348837,0.5904761904761905,0.664055604589585
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 104 3, 59 2, 37 4",26,128,88,8,0.616,0.9411764705882353,0.5925925925925926,0.7272727272727272,0.6630569306930695
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",25,141,63,21,0.664,0.8703703703703703,0.6911764705882353,0.7704918032786884,0.6886070642490304
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 249 3, 153 2, 98 4",26,111,95,18,0.548,0.8604651162790697,0.5388349514563107,0.6626865671641791,0.6209592717936747
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 201 3, 121 2, 78 4",22,120,84,24,0.568,0.8333333333333334,0.5882352941176471,0.6896551724137931,0.5920301142263759
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 152 3, 91 2, 57 4",23,121,86,20,0.576,0.8581560283687943,0.5845410628019324,0.6954022988505747,0.6477815006599655
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 105 3, 56 2, 39 4",26,134,65,25,0.64,0.8427672955974843,0.6733668341708543,0.7486033519553073,0.603154305200341
23,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 48 3, 32 2, 20 4",32,139,62,17,0.684,0.8910256410256411,0.6915422885572139,0.7787114845938374,0.6889000000000001
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 248 3, 153 2, 99 4",21,125,87,17,0.584,0.8802816901408451,0.589622641509434,0.7062146892655367,0.6157735085945399
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 195 3, 123 2, 82 4",20,133,70,27,0.612,0.83125,0.6551724137931034,0.7327823691460056,0.647174092409241
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 145 3, 93 2, 62 4",28,93,122,7,0.484,0.93,0.4325581395348837,0.5904761904761905,0.664055604589585
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 104 3, 59 2, 37 4",26,128,88,8,0.616,0.9411764705882353,0.5925925925925926,0.7272727272727272,0.6630569306930695
4,Binary,Rs_krupitsky_2004,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 50 3, 32 2, 18 4",25,141,63,21,0.664,0.8703703703703703,0.6911764705882353,0.7704918032786884,0.6886070642490304
