global_seed ,Outcome Type ,Outcome Name    ,Pre-processing script name ,Model script name ,Demog Comparison                     ,Prop(Demog)                  ,TP ,TN ,FP ,FN ,Accuracy ,Precision          ,Recall              ,F1                 ,ROC AUC Score
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"500 1, 239 3, 162 2, 99 4"  ,85 ,82 ,47 ,36 ,   0.668 ,0.6949152542372882 ,0.6356589147286822  ,0.6639676113360323 ,0.696585303350631
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"550 1, 216 3, 146 2, 88 4"  ,73 ,75 ,47 ,55 ,   0.592 ,0.5769230769230769 ,0.6147540983606558  ,0.5952380952380951 ,0.681608606557377
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"600 1, 190 3, 137 2, 73 4"  ,66 ,73 ,45 ,66 ,   0.556 ,0.5251798561151079 ,0.6186440677966102  ,0.5680933852140078 ,0.5982280431432975
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"650 1, 169 3, 116 2, 65 4"  ,75 ,75 ,61 ,39 ,   0.6   ,0.6578947368421053 ,0.5514705882352942  ,0.6                ,0.6651831785345718
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"700 1, 147 3, 97 2, 56 4"   ,72 ,78 ,57 ,43 ,   0.6   ,0.6446280991735537 ,0.5777777777777777  ,0.609375           ,0.637938808373591
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"750 1, 125 3, 79 2, 46 4"   ,66 ,74 ,56 ,54 ,   0.56  ,0.578125           ,0.5692307692307692  ,0.5736434108527132 ,0.6243589743589744
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"800 1, 101 3, 68 2, 31 4"   ,67 ,78 ,60 ,45 ,   0.58  ,0.6341463414634146 ,0.5652173913043478  ,0.5977011494252873 ,0.6396221532091096
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"850 1, 78 3, 49 2, 23 4"    ,71 ,87 ,51 ,41 ,   0.632 ,0.6796875          ,0.6304347826086957  ,0.6541353383458646 ,0.6484213250517598
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"900 1, 55 3, 31 2, 14 4"    ,55 ,78 ,59 ,58 ,   0.532 ,0.5735294117647058 ,0.5693430656934306  ,0.5714285714285714 ,0.6077772753698082
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"950 1, 28 3, 14 2, 8 4"     ,66 ,84 ,64 ,36 ,   0.6   ,0.7                ,0.5675675675675675  ,0.626865671641791  ,0.6506359300476948
          1 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,1000 1                       ,73 ,71 ,78 ,28 ,   0.576 ,0.7171717171717171 ,0.47651006711409394 ,0.5725806451612903 ,0.6474184331184796
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"500 1, 249 3, 153 2, 98 4"  ,75 ,73 ,49 ,53 ,   0.592 ,0.5793650793650794 ,0.5983606557377049  ,0.5887096774193549 ,0.6296746926229507
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"550 1, 226 3, 133 2, 91 4"  ,88 ,68 ,64 ,30 ,   0.624 ,0.6938775510204082 ,0.5151515151515151  ,0.5913043478260871 ,0.6363636363636364
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"600 1, 201 3, 121 2, 78 4"  ,77 ,79 ,61 ,33 ,   0.624 ,0.7053571428571429 ,0.5642857142857143  ,0.6269841269841269 ,0.6501948051948051
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"650 1, 174 3, 106 2, 70 4"  ,65 ,80 ,38 ,67 ,   0.58  ,0.54421768707483   ,0.6779661016949152  ,0.6037735849056604 ,0.6142783769902413
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"700 1, 152 3, 91 2, 57 4"   ,70 ,86 ,39 ,55 ,   0.624 ,0.6099290780141844 ,0.688               ,0.6466165413533834 ,0.6723199999999999
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"750 1, 131 3, 72 2, 47 4"   ,53 ,90 ,38 ,69 ,   0.572 ,0.5660377358490566 ,0.703125            ,0.6271777003484321 ,0.6451716188524591
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"800 1, 105 3, 56 2, 39 4"   ,73 ,75 ,69 ,33 ,   0.592 ,0.6944444444444444 ,0.5208333333333334  ,0.5952380952380953 ,0.6243448637316562
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"850 1, 80 3, 40 2, 30 4"    ,75 ,79 ,60 ,36 ,   0.616 ,0.6869565217391305 ,0.5683453237410072  ,0.6220472440944883 ,0.6261585326333527
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"900 1, 48 3, 32 2, 20 4"    ,81 ,70 ,85 ,14 ,   0.604 ,0.8333333333333334 ,0.45161290322580644 ,0.5857740585774058 ,0.6889643463497453
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"950 1, 25 3, 13 2, 12 4"    ,70 ,81 ,65 ,34 ,   0.604 ,0.7043478260869566 ,0.5547945205479452  ,0.6206896551724137 ,0.6151870389884089
         23 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,1000 1                       ,73 ,67 ,83 ,27 ,   0.56  ,0.7127659574468085 ,0.44666666666666666 ,0.5491803278688524 ,0.6333333333333333
          2 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"500 1, 242 3, 158 2, 100 4" ,75 ,82 ,52 ,41 ,   0.628 ,0.6666666666666666 ,0.6119402985074627  ,0.6381322957198443 ,0.6560087493566649
          2 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"550 1, 213 3, 147 2, 90 4"  ,77 ,68 ,66 ,39 ,   0.58  ,0.6355140186915887 ,0.5074626865671642  ,0.5643153526970954 ,0.6208183221821926
          2 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"600 1, 188 3, 136 2, 76 4"  ,83 ,70 ,58 ,39 ,   0.612 ,0.6422018348623854 ,0.546875            ,0.590717299578059  ,0.6607325819672131
          2 ,Binary       ,Rd_kostenB_1993 ,pipeline 7-2024            ,TBD               ,Race: non hispanic white vs minority ,"650 1, 164 3, 120 2, 66 4"  ,86 ,70 ,51 ,43 ,   0.624 ,0.6194690265486725 ,0.5785123966942148  ,0.5982905982905983 ,0.6580178102376835
