global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"500 1, 242 3, 158 2, 100 4",142,5,5,98,0.588,0.04854368932038835,0.5,0.08849557522123894,0.6141666666666667
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"550 1, 213 3, 147 2, 90 4",147,4,7,92,0.604,0.041666666666666664,0.36363636363636365,0.07476635514018691,0.5477367820464054
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"600 1, 188 3, 136 2, 76 4",102,5,1,142,0.428,0.034013605442176874,0.8333333333333334,0.06535947712418301,0.7008196721311475
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"650 1, 164 3, 120 2, 66 4",195,3,10,42,0.792,0.06666666666666667,0.23076923076923078,0.10344827586206898,0.5553391755923401
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"700 1, 142 3, 104 2, 54 4",138,4,3,105,0.568,0.03669724770642202,0.5714285714285714,0.06896551724137931,0.5931804820693709
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"750 1, 114 3, 88 2, 48 4",201,4,8,37,0.82,0.0975609756097561,0.3333333333333333,0.15094339622641506,0.6593137254901962
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"800 1, 87 3, 71 2, 42 4",165,4,5,76,0.676,0.05,0.4444444444444444,0.08988764044943821,0.570308898109728
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"850 1, 66 3, 53 2, 31 4",186,4,8,52,0.76,0.07142857142857142,0.3333333333333333,0.11764705882352941,0.5745798319327731
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"900 1, 45 3, 34 2, 21 4",165,4,5,76,0.676,0.05,0.4444444444444444,0.08988764044943821,0.5126786537574919
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,"950 1, 24 3, 13 2, 13 4",187,5,5,53,0.768,0.08620689655172414,0.5,0.14705882352941177,0.70375
2,Binary,Ab_krupitskyA_2011,pipeline 7-2024,TBD,Race: non hispanic white vs minority,1000 1,139,5,1,105,0.576,0.045454545454545456,0.8333333333333334,0.08620689655172414,0.7616120218579235
