global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),Training Demographics,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,250 1,750 1,180,7,55,8,0.752,0.12698412698412698,0.5333333333333333,0.2051282051282051,0.6570212765957446
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"238 1, 7 3, 3 2, 2 4","712 1, 21 3, 11 2, 6 4",180,9,53,8,0.752,0.13114754098360656,0.47058823529411764,0.20512820512820512,0.6798788184801817
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"232 1, 11 3, 6 2, 1 4","668 1, 43 3, 20 2, 19 4",186,11,47,6,0.768,0.11320754716981132,0.35294117647058826,0.17142857142857143,0.6493309770260035
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"218 1, 15 3, 9 2, 8 4","632 1, 61 3, 31 2, 26 4",176,9,60,5,0.724,0.07692307692307693,0.35714285714285715,0.12658227848101267,0.6849273607748184
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"188 1, 33 3, 16 2, 13 4","612 1, 71 3, 34 2, 33 4",129,2,115,4,0.532,0.03361344537815126,0.6666666666666666,0.064,0.6530054644808744
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"192 1, 33 3, 14 4, 11 2","558 1, 100 3, 51 2, 41 4",187,8,47,8,0.78,0.14545454545454545,0.5,0.22535211267605632,0.6287393162393163
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"184 1, 34 3, 21 2, 11 4","516 1, 121 3, 57 2, 56 4",134,0,107,9,0.572,0.07758620689655173,1.0,0.144,0.7962194559704934
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"177 1, 40 3, 20 2, 13 4","473 1, 141 3, 75 2, 61 4",181,10,53,6,0.748,0.1016949152542373,0.375,0.16,0.5571581196581197
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"155 1, 47 3, 28 2, 20 4","445 1, 159 3, 84 2, 62 4",183,9,51,7,0.76,0.1206896551724138,0.4375,0.1891891891891892,0.6925747863247863
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"140 1, 44 3, 43 2, 23 4","410 1, 181 3, 88 2, 71 4",149,2,89,10,0.636,0.10101010101010101,0.8333333333333334,0.1801801801801802,0.7780112044817927
0,Binary,Ab_krupitskyA_2011,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"124 1, 59 3, 35 2, 32 4","376 1, 191 3, 111 2, 72 4",156,5,80,9,0.66,0.10112359550561797,0.6428571428571429,0.17475728155339804,0.6952179176755449
