global_seed,Outcome Type,Outcome Name,Pre-processing script name,Model script name,Demog Comparison,Prop(Demog),Training Demographics,TP,TN,FP,FN,Accuracy,Precision,Recall,F1,ROC AUC Score
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,250 1,750 1,78,64,32,76,0.616,0.7037037037037037,0.5428571428571428,0.6129032258064516,0.6721428571428572
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"238 1, 7 3, 3 2, 2 4","712 1, 21 3, 11 2, 6 4",75,50,41,84,0.636,0.672,0.6268656716417911,0.6486486486486487,0.6745367987647967
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"232 1, 11 3, 6 2, 1 4","668 1, 43 3, 20 2, 19 4",78,67,36,69,0.588,0.6571428571428571,0.5073529411764706,0.5726141078838175,0.6324174406604748
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"218 1, 15 3, 9 2, 8 4","632 1, 61 3, 31 2, 26 4",72,73,39,66,0.552,0.6285714285714286,0.4748201438848921,0.5409836065573771,0.5982889364184328
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"188 1, 33 3, 16 2, 13 4","612 1, 71 3, 34 2, 33 4",69,59,60,62,0.524,0.5081967213114754,0.512396694214876,0.5102880658436214,0.5804984303927222
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"192 1, 33 3, 14 4, 11 2","558 1, 100 3, 51 2, 41 4",67,53,58,72,0.556,0.5538461538461539,0.576,0.5647058823529412,0.60832
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"184 1, 34 3, 21 2, 11 4","516 1, 121 3, 57 2, 56 4",74,31,53,92,0.664,0.6344827586206897,0.7479674796747967,0.6865671641791045,0.7157672364125216
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"177 1, 40 3, 20 2, 13 4","473 1, 141 3, 75 2, 61 4",67,71,42,70,0.548,0.625,0.49645390070921985,0.5533596837944663,0.6183225974363978
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"155 1, 47 3, 28 2, 20 4","445 1, 159 3, 84 2, 62 4",65,65,50,70,0.54,0.5833333333333334,0.5185185185185185,0.5490196078431373,0.5886634460547504
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"140 1, 44 3, 43 2, 23 4","410 1, 181 3, 88 2, 71 4",78,54,41,77,0.62,0.652542372881356,0.5877862595419847,0.6184738955823293,0.6654692411315671
0,Binary,Rd_kostenB_1993,pipeline 1-2025,TBD,Race: non hispanic white vs minority,"124 1, 59 3, 35 2, 32 4","376 1, 191 3, 111 2, 72 4",85,62,30,73,0.632,0.7087378640776699,0.5407407407407407,0.6134453781512604,0.6991304347826087
